"","i","test","test.number","avg.pval","avg.stat","flag"
"312",0.28,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.412001741807019,0
"313",0.28,"K-S Test for Benford Distribution","t5",0,15.4973254719662,0
"314",0.28,"Chebyshev Distance Test for Benford Distribution","t6",0,14.0799995663981,0
"315",0.28,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,57.5059587176475,0
"316",0.28,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0513570508649989,0
"317",0.28,"Mantissa Arc Test","t9",0,0.101985837240185,0
"318",0.28,"Mean Absolute Deviation","t10",NA,0.0452487501701893,0
"319",0.28,"Distortion Factor","t11",NA,2.06071628739003,1
"320",0.29,"Chi-Square Test for Benford Distribution","t1",0,2071.7484778327,0
"321",0.29,"Euclidean Distance Test for Benford Distribution","t2",0,17.927360727499,0
"322",0.29,"Joint Digits Test","t3",0,2071.7484778327,0
"323",0.29,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.42115062222632,0
"324",0.29,"K-S Test for Benford Distribution","t5",0,15.3137254719662,0
"325",0.29,"Chebyshev Distance Test for Benford Distribution","t6",0,13.9999995663981,0
"326",0.29,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,56.2741468332127,0
"327",0.29,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0511523658823349,0
"328",0.29,"Mantissa Arc Test","t9",0,0.0997903083956076,0
"329",0.29,"Mean Absolute Deviation","t10",NA,0.0447349366012012,0
"330",0.29,"Distortion Factor","t11",NA,2.14901057780378,1
"331",0.3,"Chi-Square Test for Benford Distribution","t1",0,2019.25886744346,0
"332",0.3,"Euclidean Distance Test for Benford Distribution","t2",0,17.704068559755,0
"333",0.3,"Joint Digits Test","t3",0,2019.25886744347,0
"334",0.3,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.433748856419073,0
"335",0.3,"K-S Test for Benford Distribution","t5",0,15.0995254719662,0
"336",0.3,"Chebyshev Distance Test for Benford Distribution","t6",0,13.8117995663981,0
"337",0.3,"Freedman-Watson U-squared Test for Benford Distribution","t7",0,54.7458500905797,0
"338",0.3,"Judge-Schechter Normed Deviation Test for Benford Distribution","t8",0,0.0502091602152965,0
"339",0.3,"Mantissa Arc Test","t9",0,0.0973329713399449,0
"340",0.3,"Mean Absolute Deviation","t10",NA,0.0440922699345346,0
"341",0.3,"Distortion Factor","t11",NA,2.02500224831253,1
"342",0.31,"Chi-Square Test for Benford Distribution","t1",0,1944.92818516109,0
"343",0.31,"Euclidean Distance Test for Benford Distribution","t2",0,17.3844683605302,0
"344",0.31,"Joint Digits Test","t3",0,1944.92818516109,0
"345",0.31,"JP-Square Correlation Statistic Test for Benford Distribution","t4",0,0.451257186070646,0
"346",0.31,"K-S Test for Benford Distribution","t5",0,14.861897372866,0
